episode_index,block_index,repeat_id,episode_id,condition,offload_gb,victim_concurrency,burst_parallelism,burst_output_len,victim_seed,burst_seed,measurement_window_s,measurement_window_start_unix_ns,measurement_window_end_unix_ns,burst_offset_s,intervention_time_unix_ns,warmup_done,burst_started,burst_start_time_unix_ns,burst_end_time_unix_ns,burst_completed,burst_cancelled_or_timeout,burst_exit_code,start_utc,end_utc,duration_s,victim_json,burst_json,victim_exit_code,victim_process_start_unix_ns,burst_process_start_unix_ns,status,error_text
0,0,1,phaseA_o0_vc4_bp4_bo256_rep01_no_burst,no_burst,0,4,4,256,42001,42002,240.0,1782217529165292412,1782217769165382995,30.0,1782217559165340859,True,False,,,False,False,,2026-06-23T12:25:07.748519+00:00,2026-06-23T12:29:30.632880+00:00,262.88,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep01_no_burst/victim.json,,0,1782217529165292412,,OK,
1,0,1,phaseA_o0_vc4_bp4_bo256_rep01_fixed_burst,fixed_burst,0,4,4,256,43001,43002,240.0,1782217791800232791,1782218031800304953,30.0,1782217821800413144,True,True,1782217821800705013,1782218033315523738,True,False,0,2026-06-23T12:29:30.633409+00:00,2026-06-23T12:33:53.315622+00:00,262.68,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep01_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep01_fixed_burst/burst.json,0,1782217791800232791,1782217821800705013,OK,
2,1,2,phaseA_o0_vc4_bp4_bo256_rep02_no_burst,no_burst,0,4,4,256,44001,44002,240.0,1782218054282070633,1782218294282138029,30.0,1782218084282143577,True,False,,,False,False,,2026-06-23T12:33:53.316155+00:00,2026-06-23T12:38:15.597284+00:00,262.28,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep02_no_burst/victim.json,,0,1782218054282070633,,OK,
3,1,2,phaseA_o0_vc4_bp4_bo256_rep02_fixed_burst,fixed_burst,0,4,4,256,45001,45002,240.0,1782218316563543693,1782218556563622386,30.0,1782218346563615399,True,True,1782218346563843246,1782218558078796420,True,False,0,2026-06-23T12:38:15.597797+00:00,2026-06-23T12:42:38.078888+00:00,262.48,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep02_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep02_fixed_burst/burst.json,0,1782218316563543693,1782218346563843246,OK,
4,2,3,phaseA_o0_vc4_bp4_bo256_rep03_no_burst,no_burst,0,4,4,256,46001,46002,240.0,1782218579396242434,1782218819396321071,30.0,1782218609396317147,True,False,,,False,False,,2026-06-23T12:42:38.079473+00:00,2026-06-23T12:47:00.961818+00:00,262.88,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep03_no_burst/victim.json,,0,1782218579396242434,,OK,
5,2,3,phaseA_o0_vc4_bp4_bo256_rep03_fixed_burst,fixed_burst,0,4,4,256,47001,47002,240.0,1782218841978200717,1782219081978267012,30.0,1782218871978274825,True,True,1782218871978515412,1782219083443753836,True,False,0,2026-06-23T12:47:00.962373+00:00,2026-06-23T12:51:23.443841+00:00,262.48,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep03_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep03_fixed_burst/burst.json,0,1782218841978200717,1782218871978515412,OK,
6,3,4,phaseA_o0_vc4_bp4_bo256_rep04_fixed_burst,fixed_burst,0,4,4,256,48001,48002,240.0,1782219104410148575,1782219344410219365,30.0,1782219134410222813,True,True,1782219134410469750,1782219345675262455,True,False,0,2026-06-23T12:51:23.444432+00:00,2026-06-23T12:55:45.675359+00:00,262.23,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep04_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep04_fixed_burst/burst.json,0,1782219104410148575,1782219134410469750,OK,
7,3,4,phaseA_o0_vc4_bp4_bo256_rep04_no_burst,no_burst,0,4,4,256,49001,49002,240.0,1782219366891843574,1782219606891914509,30.0,1782219396891928464,True,False,,,False,False,,2026-06-23T12:55:45.675933+00:00,2026-06-23T13:00:08.106964+00:00,262.43,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep04_no_burst/victim.json,,0,1782219366891843574,,OK,
8,4,5,phaseA_o0_vc4_bp4_bo256_rep05_fixed_burst,fixed_burst,0,4,4,256,50001,50002,240.0,1782219629473774672,1782219869473843087,30.0,1782219659473824133,True,True,1782219659474050991,1782219871041675029,True,False,0,2026-06-23T13:00:08.107546+00:00,2026-06-23T13:04:31.041746+00:00,262.93,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep05_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep05_fixed_burst/burst.json,0,1782219629473774672,1782219659474050991,OK,
9,4,5,phaseA_o0_vc4_bp4_bo256_rep05_no_burst,no_burst,0,4,4,256,51001,51002,240.0,1782219892558600777,1782220132558673260,30.0,1782219922559099945,True,False,,,False,False,,2026-06-23T13:04:31.042250+00:00,2026-06-23T13:08:54.124033+00:00,263.08,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc4_bp4_bo256_20260623_122507/episodes/phaseA_o0_vc4_bp4_bo256_rep05_no_burst/victim.json,,0,1782219892558600777,,OK,
