model,offload_gb,n_runs,n_cells,n_bootstrap,seed,stratified_by,ttft_median,ttft_ci_low_2.5,ttft_ci_high_97.5,tpot_median,tpot_ci_low_2.5,tpot_ci_high_97.5,itl_median,itl_ci_low_2.5,itl_ci_high_97.5,e2el_median,e2el_ci_low_2.5,e2el_ci_high_97.5
llama,0,90,18,10000,20260711,"concurrency,output_len",62.423341499197704,62.331411000741355,63.42199824939598,20.707367588804097,20.701874596682785,20.710068943157463,20.659137499023927,20.65342999958375,20.68854575009027,1367.7243602505769,1367.4259579984207,1367.7797875006945
llama,2,90,18,10000,20260711,"concurrency,output_len",578.2521022501896,576.5755812499265,579.561680500774,252.19756172185959,252.19062448760064,252.25085492858324,252.18700399818772,252.18268950084166,252.20914999954402,16228.541991251404,16225.854287500624,16304.715907250284
llama,4,90,18,10000,20260711,"concurrency,output_len",1074.593715249648,1073.4881709977344,1112.8122269983578,484.8503016041224,484.80494055157976,484.86335645447207,484.8345527498168,484.8249685001065,484.867867498906,31117.0693032509,31116.159923500163,31378.964526826334
llama,8,90,18,10000,20260711,"concurrency,output_len",2051.516298244678,2050.637188498513,2118.602529000782,945.092741084658,945.055316001449,945.1818930847803,945.0183410008322,944.9922607527697,945.0633509950421,60741.884128750826,60740.49016125355,61031.80441999575
llama,12,90,18,10000,20260711,"concurrency,output_len",3039.50126075506,3034.5056889873376,3042.0060785108944,1409.2500188304375,1409.1513690481436,1409.2749831993735,1408.9690059918212,1408.9391297457041,1409.0280840027845,90281.88215573755,90280.97839524708,90539.98890074581
llama,16,90,18,10000,20260711,"concurrency,output_len",3255.4465247449116,3253.205682260159,3258.3254480050527,1507.1877277896708,1507.1717230769852,1507.221607027676,1507.0420882475446,1507.0347832515836,1507.1353215025738,96833.12940500764,96828.76191526157,97350.77013225236
qwen,0,90,18,10000,20260711,"concurrency,output_len",65.23052799821016,65.16597674999502,65.41017199560883,19.63616009673006,19.593193502009317,19.65631937748769,19.579495245125145,19.577386246965034,19.584401496103965,1292.448922748008,1292.2598042496247,1292.645986250136
qwen,2,90,18,10000,20260711,"concurrency,output_len",844.21857225243,843.839424494945,898.6556495001423,279.67213329766565,279.6688435545363,279.68417171702396,279.61899349975283,279.56695149987354,279.62775549895014,18412.96864299511,18412.5530004967,18414.37526424852
qwen,4,90,18,10000,20260711,"concurrency,output_len",1646.0946902479918,1645.6014122486522,1761.0207709985843,546.0106261238711,545.979047869869,546.0699137072124,545.5161624959146,545.5107019915886,545.6233332479314,35947.1626634986,35946.344357998896,35950.61491374872
qwen,8,90,18,10000,20260711,"concurrency,output_len",3076.7971110008148,3075.852600250073,3299.936102249376,1020.0798646025289,1020.0630010787246,1020.1618793525437,1019.4099752498005,1019.3342402471899,1019.5339204983611,66862.73842174979,66699.6436797508,67223.08335874914
qwen,12,90,18,10000,20260711,"concurrency,output_len",4519.748092501686,4517.582776999916,4850.522252749215,1499.2342639302829,1499.2196271329883,1499.3044173847081,1498.292716249125,1498.2571777509293,1498.4707054973114,98245.41572249655,98067.43626849493,98789.2079532503
qwen,16,90,18,10000,20260711,"concurrency,output_len",4510.888454997257,4510.41260099737,4830.439984749319,1490.4934655353936,1490.443154616397,1490.6134519309428,1489.4731499953195,1489.4619199949375,1489.853617247718,98249.40359799983,98244.87044550004,98254.36672400065
