model,offload_gb,tpot_median_conc1,itl_median_conc1,tpot_median_conc2,itl_median_conc2,tpot_median_conc4,itl_median_conc4,tpot_median_conc8,itl_median_conc8,tpot_median_conc12,itl_median_conc12,tpot_median_conc16,itl_median_conc16,tpot_ratio_conc2_over_conc1,tpot_ratio_conc4_over_conc2,tpot_ratio_conc8_over_conc4,tpot_ratio_conc16_over_conc8,itl_ratio_conc2_over_conc1,itl_ratio_conc4_over_conc2,itl_ratio_conc8_over_conc4,itl_ratio_conc16_over_conc8
llama,0,19.480318833331463,19.48145449932781,20.18799369839793,20.186932999422424,20.498554354837268,20.47718449830427,20.918321370939545,20.886384001642,22.31050838888641,22.213719501451124,22.56540270965132,22.53001299868629,1.03632768391119,1.015383433395067,1.0204778838954183,1.0787386955915095,1.036212824875009,1.0143781870624007,1.0199831917015554,1.078693803432661
llama,2,107.03207103213045,107.0233950013062,249.07267600001572,251.3595900018117,251.4016659603392,251.4179899990268,253.1518701745506,253.03126049766436,257.2653622936785,256.91403200107743,257.5608881935853,257.4838069995167,2.327084523341097,1.0093506441482298,1.0069617844715775,1.017416493964649,2.348641528319522,1.0002323364595505,1.0064166868036921,1.0175968237801725
llama,4,195.04860860321236,195.03413350321352,481.10883156298615,483.4627709969936,483.2292812795394,483.248298001854,486.3548311111536,486.2383379986568,493.13566132261786,492.6072419984848,493.5277494527484,493.3538195036817,2.4666099133355344,1.004407422141191,1.0064680472659646,1.0147483234107229,2.4788623525175284,0.9995563815706071,1.0061873782259887,1.0146337319560446
llama,8,364.7151707204547,364.68786900513805,937.3504348503936,942.0284094958332,942.1757927440464,942.1830185019644,948.1900598228552,947.9639290002524,959.11793763387,958.392210501188,959.4462378583386,959.2260434947092,2.5700889628439665,1.0051478696912568,1.0063833810262655,1.0118712255194768,2.5831087062634404,1.0001641235068632,1.006135655583646,1.0118803196513333
llama,12,539.4681339127443,539.4200765076675,1390.7197243411606,1404.359817999648,1404.7226401430275,1404.7547450027196,1413.5387928413584,1413.313217504765,1429.9228649920442,1428.9552070113132,1430.132909349003,1429.9121414951514,2.5779460118511857,1.0100688266347129,1.00627608073394,1.011739413585027,2.6034622720974787,1.0002812149692764,1.0060925030027421,1.0117446888522648
llama,16,580.1239639995695,580.0722104904708,1495.740443295304,1503.0821554973954,1502.6478044047033,1502.686307008844,1511.4660698060516,1511.2567929900251,1528.8076906509805,1527.7748414955568,1528.7454639037603,1528.369912499329,2.5783117680282794,1.0046180212217712,1.0058684845347654,1.0114322077371714,2.5911983513681656,0.9997366421475343,1.0057034431878473,1.0113237668069934
qwen,0,19.53826076200967,19.533845501428004,19.193211157485845,19.154922498273663,19.30540308724933,19.276587496278808,19.679859293636767,19.63103200250771,20.124740626973413,19.99914100451861,20.38582950003079,20.305779493355654,0.9823397993953105,1.0058453965229122,1.019396445891086,1.0358727263168133,0.9806017200695767,1.006351630919734,1.0183873056523787,1.0343714732247267
qwen,2,280.2819176350668,280.2806509862421,276.9867759525946,276.8802105128998,277.5112602093648,277.5337989878608,279.0422547361346,278.84107001591474,281.2821729212732,280.7864760106895,281.5848753652683,281.4431360020535,0.9882434738913034,1.0018935353681289,1.0055168735337614,1.0091119555765418,0.9878677302147795,1.0023605460056184,1.004710312880166,1.0093317171175331
qwen,4,548.2390760807903,548.2177959929686,540.954375393722,540.8340529975249,542.0051887540178,542.0339605043409,544.2446788808975,544.00729349436,547.8778689444187,547.2115730080986,548.1109495968051,547.8560670017032,0.9867125474908783,1.0019425175358476,1.00413186104736,1.0071039201042031,0.9865313693765271,1.002218624179017,1.0036406076626325,1.0070748564465397
qwen,8,1026.8097947007946,1026.7527289997815,1012.4434472857082,1012.0396749989596,1013.8180250322612,1013.78157000363,1016.707012936552,1016.3917370009584,1023.580312602326,1022.6860609982396,1023.8481328424956,1023.520180999185,0.9860087549912079,1.001357683483693,1.0028496118957826,1.0070237736290595,0.9856703044605932,1.0017211726454027,1.0025746838121343,1.0070134808644355
qwen,12,1508.4957861456462,1508.3918925010948,1487.5099799252257,1487.080861501454,1489.0448643897448,1489.0094110014616,1494.375055387331,1493.9624730031935,1504.1612685327568,1502.9997630044818,1504.512208102337,1504.0918794984464,0.986088256650659,1.0010318481793288,1.0035796040301115,1.0067835398338996,0.9858716881829,1.0012968692893138,1.0033264141684644,1.006780228204053
qwen,16,1499.799305290341,1499.7285939971334,1479.4384297698373,1478.822068504087,1481.518599826756,1481.4681425013987,1486.1807566653804,1485.833183498471,1494.95963895225,1493.8632210032663,1511.6522449487409,1511.2305660004497,0.9864242666010823,1.0014060538208691,1.0031468770214358,1.0171388898484408,0.9860597940342488,1.0017893119487922,1.002946429202117,1.0170930241591316
