model,offload_gb,tpot_median_out32,tpot_median_out64,tpot_median_out128,tpot_abs_span_ms,tpot_rel_span_pct,tpot_flag_gt_1pct,tpot_flag_gt_5pct,itl_median_out32,itl_median_out64,itl_median_out128,itl_abs_span_ms,itl_rel_span_pct,itl_flag_gt_1pct,itl_flag_gt_5pct
llama,0,20.699034612892234,20.695181380948007,20.744034972439277,0.048853591491269555,0.23601869558129762,False,False,20.647090500460763,20.673480501500308,20.71814424925833,0.0710537487975671,0.34369514505508936,False,False
llama,2,252.1866843871389,252.24658816665715,252.29744190944515,0.11075752230624403,0.04390843226512443,False,False,252.18700399818772,252.20284275201266,252.23506999827805,0.04806600009032991,0.01905846879671872,False,False
llama,4,484.80721574190784,484.83949915876906,484.89192619489063,0.08471045298279023,0.017471854733322856,False,False,484.8339414984366,484.8038477502996,484.88979549983924,0.0859477495396277,0.017727255083255105,False,False
llama,8,945.0846747015256,945.1825712181628,945.0905035865997,0.09789651663720633,0.010358427713080494,False,False,944.991672753531,945.0633509950421,945.1015679987904,0.10989524525939487,0.011628346940307009,False,False
llama,12,1409.2500188304375,1409.2114221786023,1409.1340307166133,0.11598811382418717,0.008230710594502045,False,False,1408.9690059918212,1408.9815282495692,1409.07312874333,0.10412275150883943,0.007389930202860434,False,False
llama,16,1507.2269524837707,1507.1877277896708,1507.27003518698,0.08230739730925052,0.00546084962013289,False,False,1507.1302867581835,1507.0420882475446,1507.2022822423605,0.160193994815927,0.01062907409023689,False,False
qwen,0,19.63616009673006,19.596697119032754,19.617543624029736,0.03946297769730478,0.20116166658585205,False,False,19.553974500013283,19.57713649608195,19.605963494541356,0.05198899452807382,0.26555974893712664,False,False
qwen,2,279.6668297740971,279.67715947630086,279.6940661239319,0.027236349834822704,0.009738496302602302,False,False,279.5298107484996,279.5798525039572,279.64245424664114,0.11264349814155139,0.04029027740472001,False,False
qwen,4,545.9942366934199,546.0712396825473,546.0600020492489,0.0770029891274362,0.014101561886690124,False,False,545.5107019915886,545.6336622519302,545.6186467490625,0.12296026034164242,0.022535934406617438,False,False
qwen,8,1020.040025927477,1020.1706104563773,1020.1443886673203,0.13058452890027183,0.012800592774015327,False,False,1019.346395996763,1019.4842712517129,1019.4939927496307,0.1475967528676847,0.014477589996211206,False,False
qwen,12,1499.2097340162277,1499.2199059285217,1499.315489913446,0.10575589721838696,0.00705406170236837,False,False,1498.2350770005723,1498.3868270064704,1498.536530751153,0.30145375058054924,0.020118553176472067,False,False
qwen,16,1490.4065738064087,1490.5631410119463,1493.0439712578466,2.6373974514378915,0.17693966655094914,False,False,1489.444754748547,1489.8663069980103,1492.8163537479122,3.371598999365233,0.2263021174133939,False,False
