dataset,cv,featureset,classifier,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std
combined,groupkfold,all_primary,LogReg,1.00000,0.00000,1.00000,0.00000
combined,groupkfold,decode_only,LogReg,1.00000,0.00000,1.00000,0.00000
combined,groupkfold,e2el_only,LogReg,1.00000,0.00000,1.00000,0.00000
combined,groupkfold,itl_core,LogReg,1.00000,0.00000,1.00000,0.00000
combined,groupkfold,itl_median_only,LogReg,1.00000,0.00000,1.00000,0.00000
combined,groupkfold,ttft_only,LogReg,1.00000,0.00000,1.00000,0.00000
combined,groupkfold,all_primary,RandomForest,1.00000,0.00000,1.00000,0.00000
combined,groupkfold,decode_only,RandomForest,1.00000,0.00000,1.00000,0.00000
combined,groupkfold,e2el_only,RandomForest,1.00000,0.00000,1.00000,0.00000
combined,groupkfold,itl_core,RandomForest,1.00000,0.00000,1.00000,0.00000
combined,groupkfold,itl_median_only,RandomForest,1.00000,0.00000,1.00000,0.00000
combined,groupkfold,ttft_only,RandomForest,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,all_primary,LogReg,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,decode_only,LogReg,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,e2el_only,LogReg,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,itl_core,LogReg,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,itl_median_only,LogReg,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,ttft_only,LogReg,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,all_primary,RandomForest,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,decode_only,RandomForest,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,e2el_only,RandomForest,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,itl_core,RandomForest,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,itl_median_only,RandomForest,1.00000,0.00000,1.00000,0.00000
llama,groupkfold,ttft_only,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,all_primary,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,decode_only,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,e2el_only,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,itl_core,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,itl_median_only,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,ttft_only,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,all_primary,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,decode_only,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,e2el_only,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,itl_core,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,itl_median_only,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,groupkfold,ttft_only,RandomForest,1.00000,0.00000,1.00000,0.00000
